year,yield_diff
7/1/1994,1.168
8/1/1994,1.058695652
9/1/1994,1.064761905
10/1/1994,1.0155
11/1/1994,0.8065
12/1/1994,0.224285714
1/1/1995,0.2725
2/1/1995,0.357894737
3/1/1995,0.429130435
4/1/1995,0.494736842
5/1/1995,0.461818182
6/1/1995,0.452272727
7/1/1995,0.498
8/1/1995,0.507391304
9/1/1995,0.3915
10/1/1995,0.347619048
11/1/1995,0.451428571
12/1/1995,0.387
1/1/1996,0.54
2/1/1996,0.78
3/1/1996,0.607619048
4/1/1996,0.554090909
5/1/1996,0.641818182
6/1/1996,0.615
7/1/1996,0.595454545
8/1/1996,0.606363636
9/1/1996,0.598
10/1/1996,0.620909091
11/1/1996,0.502105263
12/1/1996,0.52047619
1/1/1997,0.570952381
2/1/1997,0.521052632
3/1/1997,0.4725
4/1/1997,0.437272727
5/1/1997,0.434285714
6/1/1997,0.399047619
7/1/1997,0.329545455
8/1/1997,0.35952381
9/1/1997,0.326666667
10/1/1997,0.257727273
11/1/1997,0.162222222
12/1/1997,0.093636364
1/1/1998,0.1875
2/1/1998,0.156842105
3/1/1998,0.085909091
4/1/1998,0.073333333
5/1/1998,0.059
6/1/1998,-0.023636364
7/1/1998,0.003181818
8/1/1998,0.073333333
9/1/1998,0.14047619
10/1/1998,0.438095238
11/1/1998,0.287368421
12/1/1998,0.138636364
1/1/1999,0.106842105
2/1/1999,0.122631579
3/1/1999,0.179565217
4/1/1999,0.207727273
5/1/1999,0.285
6/1/1999,0.280909091
7/1/1999,0.237142857
8/1/1999,0.260909091
9/1/1999,0.253333333
10/1/1999,0.2495
11/1/1999,0.172
12/1/1999,0.170909091
1/1/2000,0.221
2/1/2000,-0.091
3/1/2000,-0.27173913
4/1/2000,-0.413157895
5/1/2000,-0.369090909
6/1/2000,-0.384545455
7/1/2000,-0.285
8/1/2000,-0.402608696
9/1/2000,-0.2825
10/1/2000,-0.173809524
11/1/2000,-0.158095238
12/1/2000,-0.1115
1/1/2001,0.400952381
2/1/2001,0.442105263
3/1/2001,0.543181818
4/1/2001,0.907
5/1/2001,1.131363636
6/1/2001,1.204285714
7/1/2001,1.197619048
8/1/2001,1.213913043
9/1/2001,1.612941176
10/1/2001,1.840909091
11/1/2001,1.869
12/1/2001,1.9805
1/1/2002,2.007619048
2/1/2002,1.896315789
3/1/2002,1.7265
4/1/2002,1.788181818
5/1/2002,1.900454545
6/1/2002,1.9335
7/1/2002,2.096363636
8/1/2002,2.123636364
9/1/2002,1.8655
10/1/2002,2.029090909
11/1/2002,2.125263158
12/1/2002,2.196190476
1/1/2003,2.305238095
2/1/2003,2.274736842
3/1/2003,2.233333333
4/1/2003,2.336190476
5/1/2003,2.153809524
6/1/2003,2.107142857
7/1/2003,2.501363636
8/1/2003,2.580952381
9/1/2003,2.568095238
10/1/2003,2.542727273
11/1/2003,2.373333333
12/1/2003,2.360454545
1/1/2004,2.3895
2/1/2004,2.344210526
3/1/2004,2.248695652
4/1/2004,2.276666667
5/1/2004,2.182
6/1/2004,1.97047619
7/1/2004,1.85952381
8/1/2004,1.773181818
9/1/2004,1.60047619
10/1/2004,1.5125
11/1/2004,1.342
12/1/2004,1.219090909
1/1/2005,0.999
2/1/2005,0.780526316
3/1/2005,0.770909091
4/1/2005,0.687142857
5/1/2005,0.50047619
6/1/2005,0.357727273
7/1/2005,0.3065
8/1/2005,0.21826087
9/1/2005,0.252857143
10/1/2005,0.1925
11/1/2005,0.1185
12/1/2005,0.062857143
1/1/2006,0.0205
2/1/2006,-0.099473684
3/1/2006,-0.01
4/1/2006,0.101578947
5/1/2006,0.141818182
6/1/2006,-0.015454545
7/1/2006,-0.031
8/1/2006,-0.026956522
9/1/2006,-0.05
10/1/2006,-0.066666667
11/1/2006,-0.145238095
12/1/2006,-0.109
1/1/2007,-0.116666667
2/1/2007,-0.126315789
3/1/2007,-0.009090909
4/1/2007,0.027619048
5/1/2007,-0.02
6/1/2007,0.122380952
7/1/2007,0.185238095
8/1/2007,0.36173913
9/1/2007,0.51
10/1/2007,0.56
11/1/2007,0.812
12/1/2007,0.9805
1/1/2008,1.268571429
2/1/2008,1.7645
3/1/2008,1.893
4/1/2008,1.627727273
5/1/2008,1.434285714
6/1/2008,1.325714286
7/1/2008,1.434545455
8/1/2008,1.465238095
9/1/2008,1.61
10/1/2008,2.201818182
11/1/2008,2.313888889
12/1/2008,1.595454545
1/1/2009,1.7105
2/1/2009,1.894736842
3/1/2009,1.888181818
4/1/2009,2
5/1/2009,2.3635
6/1/2009,2.537727273
7/1/2009,2.543181818
8/1/2009,2.471904762
9/1/2009,2.445714286
10/1/2009,2.438571429
11/1/2009,2.599473684
12/1/2009,2.715454545
1/1/2010,2.804210526
2/1/2010,2.834210526
3/1/2010,2.768695652
4/1/2010,2.786363636
5/1/2010,2.5895
6/1/2010,2.479545455
7/1/2010,2.394761905
8/1/2010,2.178181818
9/1/2010,2.167619048
10/1/2010,2.164
11/1/2010,2.309
12/1/2010,2.672727273
1/1/2011,2.7795
2/1/2011,2.803684211
3/1/2011,2.716956522
4/1/2011,2.7205
5/1/2011,2.613333333
6/1/2011,2.591818182
7/1/2011,2.5965
8/1/2011,2.072608696
9/1/2011,1.763809524
10/1/2011,1.8715
11/1/2011,1.76
12/1/2011,1.720952381
1/1/2012,1.726
2/1/2012,1.6895
3/1/2012,1.828181818
4/1/2012,1.760952381
5/1/2012,1.518181818
6/1/2012,1.33047619
7/1/2012,1.278571429
8/1/2012,1.409565217
9/1/2012,1.467894737
10/1/2012,1.469047619
11/1/2012,1.386
12/1/2012,1.462
1/1/2013,1.64952381
2/1/2013,1.716842105
3/1/2013,1.7015
4/1/2013,1.526818182
5/1/2013,1.677727273
6/1/2013,1.9665
7/1/2013,2.241363636
8/1/2013,2.380909091
9/1/2013,2.4055
10/1/2013,2.280454545
11/1/2013,2.414736842
12/1/2013,2.561904762
1/1/2014,2.464285714
2/1/2014,2.382631579
3/1/2014,2.324285714
4/1/2014,2.288095238
5/1/2014,2.17
6/1/2014,2.146190476
7/1/2014,2.035909091
8/1/2014,1.947619048
9/1/2014,1.967619048
10/1/2014,1.858636364
11/1/2014,1.798333333
12/1/2014,1.571818182
1/1/2015,1.33
2/1/2015,1.356315789
3/1/2015,1.402272727
4/1/2015,1.395
5/1/2015,1.5885
6/1/2015,1.675
7/1/2015,1.656818182
8/1/2015,1.46952381
9/1/2015,1.45952381
10/1/2015,1.425238095
11/1/2015,1.378421053
12/1/2015,1.26
1/1/2016,1.185789474
2/1/2016,1.046
3/1/2016,1.014090909
4/1/2016,1.037142857
5/1/2016,0.99
6/1/2016,0.912727273
7/1/2016,0.8315
8/1/2016,0.819130435
9/1/2016,0.85952381
10/1/2016,0.9215
11/1/2016,1.1625
12/1/2016,1.295238095
1/1/2017,1.226
2/1/2017,1.217894737
3/1/2017,1.168695652
4/1/2017,1.056315789
